Dataset;Experiment 1 Name;Experiment 2 Name;T Test Compared Results;Alfa;T-value;P-value;Level of Confidence (%);Equal Variance?
Ohsumed;ES100;LR001;Fail to reject H0;0.03;-0.1003;0.9212196311017506;7.878;True
Ohsumed;ES100;LR0001;Reject H0;0.03;10.8944;2.352645207034696e-09;100.0;True
Ohsumed;ES100;LR00001;Reject H0;0.03;14.4132;2.5086277258349337e-11;100.0;True
Ohsumed;ES100;DO01;Reject H0;0.03;-2.652;0.016220637336853114;98.3779;True
Ohsumed;ES100;DO02;Fail to reject H0;0.03;-1.85;0.08080768276931123;91.9192;True
Ohsumed;ES100;DO03;Reject H0;0.03;-2.556;0.01984822718541875;98.0152;True
Ohsumed;ES100;DO04;Fail to reject H0;0.03;-1.4467;0.16518089450954776;83.4819;True
Ohsumed;ES100;DO05;Fail to reject H0;0.03;-0.4029;0.6917939965225651;30.8206;True
Ohsumed;ES100;DO06;Fail to reject H0;0.03;1.0851;0.29217620757775103;70.7824;True
Ohsumed;ES100;DO07;Fail to reject H0;0.03;0.0657;0.9483099265608997;5.169;True
Ohsumed;ES100;DO08;Fail to reject H0;0.03;1.7607;0.09526216158430403;90.4738;True
Ohsumed;ES100;DO09;Reject H0;0.03;3.4389;0.002928186622456215;99.7072;True
Ohsumed;ES100;HD50;Reject H0;0.03;8.2409;1.602062430061768e-07;100.0;True
Ohsumed;ES100;HD350;Fail to reject H0;0.03;-1.2592;0.22403144219430318;77.5969;True
Ohsumed;ES100;HD500;Fail to reject H0;0.03;-1.9868;0.06238082117195048;93.7619;True
Ohsumed;ES1000;LR01;Reject H0;0.03;-4.6408;0.0007474726628404489;99.9253;False
Ohsumed;ES1000;LR001;Reject H0;0.03;-13.4001;9.862817114171008e-09;100.0;False
Ohsumed;ES1000;LR0001;Reject H0;0.03;-7.4041;7.247256654248734e-07;99.9999;True
Ohsumed;ES1000;LR00001;Fail to reject H0;0.03;0.3253;0.7487081278250052;25.1292;True
Ohsumed;ES1000;DO01;Reject H0;0.03;-24.033;3.955801061927591e-15;100.0;True
Ohsumed;ES1000;DO02;Reject H0;0.03;-22.2277;1.544361389037913e-14;100.0;True
Ohsumed;ES1000;DO03;Reject H0;0.03;-26.1929;8.755191345971317e-16;100.0;True
Ohsumed;ES1000;DO04;Reject H0;0.03;-27.2299;4.424160025083617e-16;100.0;True
Ohsumed;ES1000;DO05;Reject H0;0.03;-22.2963;1.4637113127795663e-14;100.0;True
Ohsumed;ES1000;DO06;Reject H0;0.03;-18.5842;3.4078510502490235e-13;100.0;True
Ohsumed;ES1000;DO07;Reject H0;0.03;-14.8556;1.5153349683515404e-11;100.0;True
Ohsumed;ES1000;DO08;Reject H0;0.03;-11.7213;3.8592505737063895e-08;100.0;False
Ohsumed;ES1000;DO09;Reject H0;0.03;-9.3999;5.682144546103384e-07;99.9999;False
Ohsumed;ES1000;HD50;Reject H0;0.03;-9.6151;1.6282265287031026e-08;100.0;True
Ohsumed;ES1000;HD350;Reject H0;0.03;-19.9361;1.0179309583351054e-13;100.0;True
Ohsumed;ES1000;HD500;Reject H0;0.03;-22.8389;9.629401821762326e-15;100.0;True
Ohsumed;LR01;LR001;Reject H0;0.03;-4.6521;0.0001982111883024336;99.9802;True
Ohsumed;LR01;LR0001;Fail to reject H0;0.03;1.0576;0.3116020131463685;68.8398;False
Ohsumed;LR01;LR00001;Reject H0;0.03;4.426;0.00032615320942379924;99.9674;True
Ohsumed;LR01;DO01;Reject H0;0.03;-6.8091;2.112585282430597e-05;99.9979;False
Ohsumed;LR01;DO02;Reject H0;0.03;-6.314;3.766699534963551e-05;99.9962;False
Ohsumed;LR01;DO03;Reject H0;0.03;-6.8001;3.040194742695482e-05;99.997;False
Ohsumed;LR01;DO04;Reject H0;0.03;-6.243;8.534284028069611e-05;99.9915;False
